participant_id,age,trial_order,stimulus,response
1,39.0,1,desire,lust-longing
1,39.0,2,pregnancy,human-belly
1,39.0,3,sympathy,sorrow-understanding
1,39.0,4,destiny,future-goal
1,39.0,5,genius,clever-person
1,39.0,6,size,physical-dimensions
1,39.0,7,mix,combination-differences
1,39.0,8,operation,body-fix
1,39.0,9,promotion,job-progression
1,39.0,10,sword,mythical-tool
1,39.0,11,basis,foundation-start
1,39.0,12,breast,female-lumps
1,39.0,13,maintenance,ongoing-care
1,39.0,14,accent,distinct-dialect
1,39.0,15,label,identifying-note
1,39.0,16,inventor,ideasman
1,39.0,17,storm,weatherstark
1,39.0,18,acid,fireygel
1,39.0,19,transcript,worddings
1,39.0,20,storm,crazyair
1,39.0,21,cancer,bodylumps
1,39.0,22,colony,peopleings
1,39.0,23,pain,nastfeel
1,39.0,24,policeman,mainman
1,39.0,25,assignment,givetask
1,39.0,26,assassination,gonebang
1,39.0,27,pie,pastryum
1,39.0,28,politics,governing
1,39.0,29,opponent,foe
1,39.0,30,limb,arm
1,39.0,31,victim,abused
1,39.0,32,hunger,starving
1,39.0,33,abuse,hurt
1,39.0,34,economics,financials
1,39.0,35,shame,horrified
1,39.0,36,electronics,technology
1,39.0,37,democracy,fairness
1,39.0,38,passion,longing
1,39.0,39,hurricane,storm
1,39.0,40,decision,choice
1,39.0,41,hunting,get
1,39.0,42,conservative,moderate
1,39.0,43,charm,swarve
2,32.0,1,mining,digging
2,32.0,2,trench,ditch
2,32.0,3,payment,spend
2,32.0,4,welfare,health
2,32.0,5,romance,charming
2,32.0,6,expertise,experienced
2,32.0,7,philosopher,theorist
2,32.0,8,chaos,disorder
2,32.0,9,drain,pipe
2,32.0,10,treasure,gold
2,32.0,11,recipe,cooking
2,32.0,12,force,vigour
2,32.0,13,error,mistake
2,32.0,14,darkness,nighttime
2,32.0,15,database,table
2,32.0,16,assurance,confirmation
2,32.0,17,suicide,selfdeath
2,32.0,18,assessment,examtest
2,32.0,19,merit,earnedpraise
2,32.0,20,county,localarea
2,32.0,21,sea,bigwater
2,32.0,22,pause,briefstop
2,32.0,23,sense,sightsmell
2,32.0,24,laughter,chuckleloudly
2,32.0,25,crisis,bigproblem
2,32.0,26,victory,matchwon
2,32.0,27,effect,knockon
