participant_id,age,trial_order,stimulus,response
1,45,1,classic,timeless
1,45,2,manager,boss
1,45,3,cousin,family
1,45,4,retrospect,hindsight
1,45,5,external,open
1,45,6,tonight,evening
1,45,7,pandemonium,craziness
1,45,8,fifth,five
1,45,9,kaleidoscope,trove
1,45,10,somewhere,lost
1,45,11,fisher,angler
1,45,12,butler,servant
1,45,13,september,autumn
1,45,14,faithful,truthful
1,45,15,riverside,canal
1,45,16,elite,expert
1,45,17,december,christmas
1,45,18,partnership,duo
1,45,19,piglet,piggy
1,45,20,equivalent,equal
1,45,21,strategy,plan
1,45,22,october,halloween
1,45,23,special,important
1,45,24,february,valentine
1,45,25,baker,chef
1,45,26,brewer,publican
1,45,27,health,lifestyle
1,45,28,tom,thumb
1,45,29,sessions,lesson
1,45,30,intro,start
1,45,31,nephew,family
1,45,32,etcetera,also
1,45,33,whitehead,shark
1,45,34,week,period
1,45,35,july,summer
1,45,36,dad,father
1,45,37,tomorrow,today
1,45,38,implosion,explosion
1,45,39,saturday,weekend
1,45,40,nutshell,answer
1,45,41,envy,jealous
1,45,42,mentor,helper
1,45,43,fortnight,weeks
1,45,44,dare,brave
1,45,45,lunchtime,lunch
1,45,46,dead,gone
1,45,47,showcase,preformance
1,45,48,highlight,standout
1,45,49,dozen,twelve
1,45,50,moonshine,alchohol
1,45,51,snowflake,woke
1,45,52,fine,great
1,45,53,tomahawk,steak
1,45,54,topic,subject
2,29,1,tomahawk,axe
2,29,2,pandemonium,disorder
2,29,3,kaleidoscope,telescope
2,29,4,faithful,loyal
2,29,5,dad,father
2,29,6,july,summertime
2,29,7,brewer,beermaker
2,29,8,saturday,weekend
2,29,9,cousin,niece
2,29,10,topic,subject
2,29,11,highlight,feature
2,29,12,snowflake,snow
2,29,13,september,autumn
2,29,14,piglet,runt
2,29,15,dozen,twelve
2,29,16,fine,okay
2,29,17,fortnight,biweekly
2,29,18,somewhere,location
2,29,19,classic,simple
2,29,20,week,span
2,29,21,butler,servant
2,29,22,fisher,fishcatcher
2,29,23,sessions,appointments
2,29,24,fifth,half
2,29,25,mentor,guide
2,29,26,riverside,embankment
2,29,27,baker,breadmaker
2,29,28,december,yuletide
2,29,29,elite,upmost
2,29,30,manager,leader
2,29,31,etcetera,furthermore
2,29,32,strategy,plan
2,29,33,tonight,evening
2,29,34,intro,hello
2,29,35,tomorrow,later
2,29,36,october,autumn
2,29,37,implosion,detonate
2,29,38,lunchtime,noon
2,29,39,dare,risk
2,29,40,retrospect,hindsight
2,29,41,health,lifespan
2,29,42,moonshine,reflection
2,29,43,envy,jealousy
2,29,44,external,outside
2,29,45,whitehead,spot
2,29,46,showcase,present
2,29,47,february,valentines
2,29,48,tom,dick
2,29,49,dead,desceased
2,29,50,nephew,uncle
2,29,51,equivalent,similar
2,29,52,partnership,joiner
2,29,53,nutshell,nuthouse
2,29,54,special,exquisite
3,40,1,implosion,inward-explosion
