experiment,participant_id,age,trial_order,stimulus,response
open,101822,44.0,1,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed?",yes
open,101822,44.0,2,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to?",yes
open,101822,44.0,3,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid?",no
open,101822,44.0,4,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to?",yes
open,101822,44.0,5,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone?",no
open,101822,44.0,6,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed?",yes
open,101822,44.0,7,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed?",yes
open,101822,44.0,8,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary?",yes
open,101822,44.0,9,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed?",yes
open,101822,44.0,10,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed?",yes
open,101822,44.0,11,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted?",no
open,101822,44.0,12,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged?",no
open,101822,44.0,13,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid?",no
open,101822,44.0,14,"The door is green. In this context, is the door blue?",no
open,101822,44.0,15,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone?",yes
open,101822,44.0,16,"The door is red. In this context, is the door red?",yes
open,101822,44.0,17,"Jessica and Giovanna deceived Pascual and Barbara was deceived by Pascual and Laura. In this context, did Laura deceive anyone?",no
open,101822,44.0,18,"John loved Mary and Lucy was hugged by Mary. Mary was kissed by Lucy. In this context, was Lucy kissed?",yes
open,101822,44.0,19,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed?",yes
open,101822,44.0,20,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone?",no
open,101822,44.0,21,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary?",yes
open,101822,44.0,22,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed?",yes
open,101822,44.0,23,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed?",yes
open,101822,44.0,24,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone?",yes
open,101822,44.0,25,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted?",no
open,101822,44.0,26,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy?",yes
open,101822,44.0,27,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone?",yes
